District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Hailakandi,238,(Algapur | 238),90,78,70,0,0
Nagaon,17812,"(Nagaon | 10865), (Kampur | 5387), (Raha | 1560)",8314,6389,2922,184,3
Cachar,54676,"(Katigorah | 29569), (Silchar | 16199), (Sonai | 8908)",23448,19020,12165,28,15
Dima-Hasao,211,(Haflong | 211),54,66,90,1,0
Hojai,198,"(Lanka | 0), (Hojai | 198)",113,63,22,0,0
Hailakandi,173,(Algapur | 173),80,65,28,0,0
Nagaon,17326,"(Kampur | 4833), (Nagaon | 10933), (Raha | 1560)",8183,6103,2867,171,2
Morigaon,105,"(Morigaon | 105), (Mayong | 0)",47,38,20,0,0
Karimganj,9,"(Karimganj | 0), (Badarpur | 9)",2,1,5,1,0
Nagaon,14569,"(Nagaon | 10933), (Kampur | 2045), (Raha | 1591)",6552,5263,2579,173,2
Morigaon,105,"(Mayong | 0), (Morigaon | 105)",47,38,20,0,0
Hailakandi,173,(Algapur | 173),80,65,28,0,0
Dima-Hasao,92,(Haflong | 92),24,28,35,4,1
Cachar,51897,"(Udharbond | 0), (Sonai | 6502), (Lakhipur | 0), (Silchar | 15826), (Katigorah | 29569)",22102,18446,11326,12,11
Nagaon,14353,"(Nagaon | 10718), (Kampur | 2044), (Raha | 1591)",6428,5203,2553,168,1
Cachar,47749,"(Silchar | 11678), (Katigorah | 29569), (Sonai | 6502), (Udharbond | 0)",20127,16877,10728,9,8
Dima-Hasao,64,(Haflong | 64),29,17,17,0,1
Hailakandi,18,(Algapur | 18),8,5,5,0,0
Morigaon,105,"(Morigaon | 105), (Mayong | 0)",47,38,20,0,0
Cachar,35415,"(Katigorah | 24676), (Lakhipur | 0), (Sonai | 458), (Silchar | 10281), (Udharbond | 0)",14449,13196,7756,7,7
Morigaon,105,"(Mayong | 0), (Morigaon | 105)",47,38,20,0,0
Nagaon,9031,"(Nagaon | 5489), (Raha | 1591), (Kampur | 1951)",4010,3199,1754,68,0
