District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Barpeta,107532,"(Baghbar | 2594), (Barpeta | 101244), (Sarthebari | 2514), (Kalgachia | 0), (Barnagar | 0), (Chenga | 1180)",34717,35817,36905,90,3
Baksa,56,"(Barnagar RC part | 0), (Baganpara | 0), (Barama | 56)",24,29,3,0,0
Bajali,1853,"(Sarupeta | 1788), (Bajali | 65)",761,775,260,52,5
Udalguri,1890,"(Mazbat | 820), (Khairabari | 0), (Harisinga | 408), (Udalguri | 625), (Kalaigaon | 37)",855,741,287,7,0
South Salmara,472,"(South Salmara | 0), (Mankachar | 472)",182,124,141,25,0
Cachar,33766,"(Katigorah | 8615), (Lakhipur | 3415), (Silchar | 19704), (Sonai | 1938), (Udharbond | 94)",14059,11775,7928,0,4
Chirang,1363,"(Sidli | 0), (Bijni | 622), (Bengtal | 741)",466,507,322,63,5
Dima-Hasao,1905,(Haflong | 1905),679,725,436,57,8
Dima-Hasao,1905,(Haflong | 1905),679,725,433,60,8
Dhubri,3396,"(Bilasipara | 1509), (Dhubri | 1887), (South Salmara Part | 0), (Athani | 0), (Golakganj | 0), (Gauripur | 0), (Agamoni | 0), (Chapar | 0)",1161,1430,804,1,0
Cachar,71977,"(Katigorah | 8985), (Silchar | 22549), (Sonai | 36916), (Lakhipur | 3415), (Udharbond | 112)",29430,25159,17377,4,7
Goalpara,22983,"(Matia | 1443), (Lakhipur | 14476), (Balijana | 7064), (Rongjuli | 0)",9879,7259,5716,118,11
Chirang,818,"(Bijni | 561), (Bengtal | 257)",275,335,204,4,0
Bongaigaon,2233,"(Srijangram | 366), (Boitamari | 656), (Manikpur | 1211)",913,757,552,11,0
Bajali,2170,"(Sarupeta | 2122), (Bajali | 48)",906,938,273,52,1
Hailakandi,821,"(Algapur | 280), (Katlicherra | 0), (Hailakandi | 204), (Lala | 337)",361,290,165,5,0
Darrang,3813,"(Sipajhar | 1409), (Patharighat | 0), (Mangaldoi | 734), (Dalgaon | 1670)",1390,1356,1038,26,3
Sonitpur,170,"(Thelamara | 0), (Tezpur | 0), (Dhekiajuli | 170)",46,78,40,6,0
Nalbari,12252,"(Ghograpar | 0), (Paschim Nalbari | 10086), (Barbhag | 1550), (Tihu | 173), (Nalbari | 250), (Barkhetri | 193)",5652,5123,1367,101,9
Nagaon,17675,"(Dhing | 0), (Rupahi | 0), (Samaguri | 0), (Nagaon | 11185), (Kampur | 4980), (Raha | 1510)",7018,6428,4094,129,6
Morigaon,175,"(Bhuragaon | 0), (Morigaon | 175), (Mayong | 0), (Mikirbheta | 0)",67,75,33,0,0
Karimganj,19634,"(Nilambazar | 357), (RK Nagar | 0), (Badarpur | 2522), (Karimganj | 16570), (Patherkandi | 185)",8055,7075,4491,13,0
South Salmara,432,"(South Salmara | 0), (Mankachar | 432)",164,126,121,21,0
Tamulpur,993,"(Goreswar | 888), (Tamulpur | 105)",238,269,484,2,0
Udalguri,1025,"(Harisinga | 0), (Khairabari | 0), (Mazbat | 400), (Kalaigaon | 0), (Udalguri | 625)",443,365,210,7,0
Kamrup,4919,"(Rangia | 510), (Palashbari | 0), (Hajo | 167), (Chaygaon | 0), (Nagarbera | 0), (Kayan | 524), (Chamaria | 0), (Goroimari | 0), (Kamalpur | 1607), (North Ghy | 2111)",1765,1938,1197,19,0
Hojai,6949,"(Hojai | 4162), (Lanka | 0), (Doboka | 2787)",3882,2521,544,2,0
Barpeta,110535,"(Barpeta | 101245), (Baghbar | 3222), (Chenga | 3554), (Barnagar | 0), (Sarthebari | 2514), (Kalgachia | 0)",35893,36513,37789,337,3
Udalguri,302,"(Khairabari | 0), (Harisinga | 0), (Mazbat | 0), (Kalaigaon | 0), (Udalguri | 302)",133,117,52,0,0
Dhubri,2779,"(Bilasipara | 1377), (Gauripur | 0), (Athani | 0), (South Salmara Part | 0), (Agamoni | 0), (Dhubri | 1402)",911,1196,672,0,0
Barpeta,95631,"(Barpeta | 80745), (Baghbar | 11044), (Barnagar | 0), (Kalgachia | 0), (Chenga | 3554), (Sarthebari | 288)",32084,33696,29502,339,10
Dima-Hasao,1922,(Haflong | 1922),691,737,437,54,3
Cachar,107322,"(Katigorah | 44183), (Lakhipur | 3415), (Silchar | 22545), (Sonai | 37063), (Udharbond | 116)",41525,38251,27544,0,2
Goalpara,8707,"(Matia | 1443), (Lakhipur | 3791), (Balijana | 3473), (Rongjuli | 0)",3934,3068,1651,46,8
Hailakandi,810,"(Katlicherra | 0), (Lala | 0), (Algapur | 0), (Hailakandi | 810)",299,243,268,0,0
Darrang,1386,"(Sipajhar | 672), (Patharighat | 0), (Dalgaon | 0), (Mangaldoi | 714)",420,599,362,3,2
Hojai,3392,"(Hojai | 1728), (Lanka | 0), (Doboka | 1664)",1860,1208,313,10,1
Kamrup,3118,"(Rangia | 537), (Hajo | 0), (Palashbari | 0), (Chamaria | 0), (Chaygaon | 0), (Kamalpur | 718), (Nagarbera | 0), (Goroimari | 0), (Kayan | 258), (North Ghy | 1605)",1204,1293,602,19,0
Karimganj,13885,"(RK Nagar | 0), (Badarpur | 2485), (Nilambazar | 357), (Patherkandi | 185), (Karimganj | 10858)",5608,5311,2954,12,0
Morigaon,175,"(Bhuragaon | 0), (Morigaon | 175), (Mikirbheta | 0), (Mayong | 0)",67,73,33,2,0
Nagaon,17950,"(Rupahi | 0), (Samaguri | 0), (Kampur | 4980), (Nagaon | 11460), (Raha | 1510)",7200,6535,4080,129,6
Nalbari,5274,"(Paschim Nalbari | 4291), (Barbhag | 730), (Tihu | 83), (Barkhetri | 0), (Nalbari | 170)",2383,1922,945,22,2
Sonitpur,170,"(Thelamara | 0), (Dhekiajuli | 170), (Tezpur | 0)",46,78,40,6,0
South Salmara,410,"(South Salmara | 0), (Mankachar | 410)",152,121,117,20,0
Tamulpur,25,(Tamulpur | 25),11,10,4,0,0
Chirang,543,(Bijni | 543),182,231,127,3,0
Bongaigaon,147,"(Manikpur | 0), (Srijangram | 147)",60,71,16,0,0
Bajali,1840,"(Sarupeta | 1808), (Bajali | 32)",751,792,245,51,1
Sonitpur,170,"(Thelamara | 0), (Dhekiajuli | 170)",46,78,40,6,0
Karimganj,14414,"(RK Nagar | 0), (Nilambazar | 463), (Badarpur | 2171), (Patherkandi | 185), (Karimganj | 11595)",5791,5466,3147,10,0
Cachar,109868,"(Lakhipur | 3415), (Katigorah | 44183), (Udharbond | 61), (Sonai | 37061), (Silchar | 25148)",42103,38830,28935,0,0
Kamrup,2785,"(Palashbari | 0), (Hajo | 0), (Rangia | 324), (Nagarbera | 0), (Chamaria | 0), (Chaygaon | 0), (Kamalpur | 867), (North Ghy | 1547), (Kayan | 47)",1100,1189,487,9,0
Morigaon,175,"(Mikirbheta | 0), (Mayong | 0), (Bhuragaon | 0), (Morigaon | 175)",67,73,33,2,0
Hojai,817,"(Hojai | 707), (Lanka | 0), (Doboka | 110)",504,240,69,3,1
Nagaon,19618,"(Dhing | 0), (Kampur | 4980), (Nagaon | 13128), (Raha | 1510)",7509,6853,5121,129,6
Goalpara,4995,"(Lakhipur | 2569), (Matia | 0), (Balijana | 2426), (Rongjuli | 0)",2293,1891,784,21,6
Nalbari,4567,"(Paschim Nalbari | 3634), (Tihu | 83), (Barbhag | 650), (Nalbari | 200)",2148,1768,649,1,1
Tamulpur,185,"(Goreswar | 160), (Tamulpur | 25)",96,60,29,0,0
South Salmara,404,"(South Salmara | 0), (Mankachar | 404)",150,119,115,20,0
Bajali,41,"(Sarupeta | 41), (Bajali | 0)",13,11,10,6,1
Hailakandi,717,"(Algapur | 0), (Hailakandi | 717)",285,175,257,0,0
Dima-Hasao,1821,(Haflong | 1821),652,693,409,60,7
Chirang,543,(Bijni | 543),182,231,127,3,0
Darrang,2353,"(Dalgaon | 0), (Patharighat | 0), (Sipajhar | 672), (Mangaldoi | 1681)",790,978,542,25,18
Barpeta,69798,"(Barpeta | 56492), (Barnagar | 0), (Baghbar | 10444), (Kalgachia | 0), (Chenga | 2862), (Sarthebari | 0)",16269,25998,27303,220,8
South Salmara,235,"(South Salmara | 0), (Mankachar | 235)",94,74,64,3,0
Sonitpur,170,(Dhekiajuli | 170),46,78,40,6,0
Dima-Hasao,1702,(Haflong | 1702),614,666,357,57,8
Darrang,1572,"(Dalgaon | 0), (Patharighat | 0), (Mangaldoi | 895), (Sipajhar | 677)",466,693,376,20,17
Hailakandi,2237,"(Hailakandi | 0), (Lala | 0), (Algapur | 2237)",1070,745,414,8,0
Cachar,109623,"(Silchar | 25223), (Sonai | 38448), (Katigorah | 44229), (Udharbond | 0), (Lakhipur | 1723)",41881,38783,28818,141,0
Barpeta,57958,"(Barpeta | 44973), (Barnagar | 0), (Kalgachia | 0), (Baghbar | 10479), (Sarthebari | 0), (Chenga | 2506)",16141,19730,21929,150,8
Chirang,543,(Bijni | 543),182,231,127,3,0
Goalpara,3293,"(Matia | 0), (Rongjuli | 0), (Lakhipur | 2459), (Balijana | 834)",1568,1281,421,19,4
Nalbari,3798,"(Paschim Nalbari | 3634), (Barbhag | 81), (Tihu | 83)",1815,1479,502,1,1
Nagaon,20051,"(Raha | 1591), (Nagaon | 13480), (Kampur | 4980)",7712,7010,5191,132,6
Morigaon,177,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 177), (Bhuragaon | 0)",67,75,33,2,0
Karimganj,13461,"(Badarpur | 1395), (Nilambazar | 413), (Patherkandi | 118), (RK Nagar | 0), (Karimganj | 11535)",5140,5153,3160,8,0
Kamrup,1903,"(Chamaria | 0), (Hajo | 0), (Palashbari | 0), (Kamalpur | 253), (Chaygaon | 0), (Rangia | 175), (Kayan | 59), (North Ghy | 1416)",732,826,326,19,0
Hojai,220,"(Hojai | 220), (Lanka | 0), (Doboka | 0)",111,75,29,4,1
Tamulpur,161,(Goreswar | 161),85,50,26,0,0
Udalguri,309,"(Mazbat | 0), (Kalaigaon | 0), (Harisinga | 0), (Khairabari | 0), (Udalguri | 309)",128,114,65,1,1
Hailakandi,366,"(Algapur | 0), (Lala | 0), (Hailakandi | 366)",141,127,98,0,0
Cachar,109624,"(Sonai | 38448), (Udharbond | 0), (Silchar | 25223), (Lakhipur | 1724), (Katigorah | 44229)",41881,38783,28818,142,0
Chirang,593,"(Bengtal | 0), (Sidli | 0), (Bijni | 593)",201,255,134,3,0
Udalguri,309,"(Kalaigaon | 0), (Harisinga | 0), (Khairabari | 0), (Udalguri | 309)",128,114,65,1,1
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Sonitpur,170,(Dhekiajuli | 170),46,78,40,6,0
Nalbari,470,"(Paschim Nalbari | 438), (Barbhag | 32)",217,160,93,0,0
Nagaon,20296,"(Nagaon | 13725), (Kampur | 4980), (Raha | 1591)",7846,7144,5168,132,6
Morigaon,175,"(Mikirbheta | 0), (Bhuragaon | 0), (Mayong | 0), (Morigaon | 175)",67,73,33,2,0
Karimganj,9885,"(Nilambazar | 413), (Badarpur | 1265), (RK Nagar | 0), (Patherkandi | 118), (Karimganj | 8089)",4296,3374,2207,8,0
Kamrup,4920,"(Rangia | 0), (Hajo | 3238), (Chamaria | 0), (Kamalpur | 253), (Kayan | 40), (North Ghy | 1389)",2334,1973,606,7,0
Barpeta,39541,"(Baghbar | 5984), (Sarthebari | 0), (Barpeta | 31273), (Chenga | 2284), (Kalgachia | 0), (Barnagar | 0)",10417,14039,14965,112,8
Darrang,1572,"(Dalgaon | 0), (Patharighat | 0), (Mangaldoi | 895), (Sipajhar | 677)",466,693,376,20,17
Goalpara,1747,"(Matia | 0), (Balijana | 0), (Lakhipur | 1747)",978,667,98,2,2
Dima-Hasao,1424,(Haflong | 1424),505,554,310,54,1
Nalbari,147,"(Paschim Nalbari | 115), (Barbhag | 32)",67,57,23,0,0
Dhemaji,191,"(Sissiborgaon | 0), (Jonai | 0), (Dhemaji | 191)",41,23,106,21,0
Dima-Hasao,1425,(Haflong | 1425),501,549,319,55,1
Goalpara,1747,"(Balijana | 0), (Lakhipur | 1747)",978,667,98,2,2
Hailakandi,246,"(Lala | 0), (Hailakandi | 246), (Katlicherra | 0), (Algapur | 0)",73,62,111,0,0
Hojai,564,(Hojai | 564),306,201,51,6,0
Kamrup,3301,"(Rangia | 0), (Chamaria | 0), (Kamalpur | 253), (Hajo | 2363), (North Ghy | 645), (Kayan | 40)",1540,1242,519,0,0
Cachar,118242,"(Katigorah | 44238), (Sonai | 45093), (Udharbond | 0), (Silchar | 25223), (Lakhipur | 3688)",44996,41773,31273,200,0
Biswanath,161,"(Halem | 56), (Biswanath | 0), (Gohpur | 105)",68,60,28,5,0
Barpeta,13959,"(Barpeta | 7135), (Baghbar | 4715), (Kalgachia | 0), (Chenga | 2109), (Sarthebari | 0)",3811,5402,4656,82,8
Bajali,1123,"(Sarupeta | 1123), (Bajali | 0)",430,442,195,55,1
Karimganj,10574,"(Nilambazar | 413), (Badarpur | 1265), (Patherkandi | 118), (Karimganj | 8089), (RK Nagar | 689)",4404,3682,2480,8,0
Morigaon,175,"(Mikirbheta | 0), (Mayong | 0), (Bhuragaon | 0), (Morigaon | 175)",67,73,33,2,0
Nagaon,20251,"(Nagaon | 13680), (Raha | 1591), (Kampur | 4980)",7756,7072,5284,132,7
Darrang,1385,"(Mangaldoi | 779), (Dalgaon | 0), (Sipajhar | 606), (Patharighat | 0)",408,646,296,20,15
Chirang,2129,"(Sidli | 0), (Bijni | 1892), (Bengtal | 237)",945,860,320,4,0
Sonitpur,170,(Dhekiajuli | 170),46,78,40,6,0
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Udalguri,309,"(Harisinga | 0), (Khairabari | 0), (Kalaigaon | 0), (Udalguri | 309)",128,114,65,1,1
Dhemaji,207,"(Sissiborgaon | 0), (Gogamukh | 0), (Jonai | 0), (Dhemaji | 207)",52,27,106,21,1
Nagaon,20987,"(Samaguri | 0), (Kampur | 4980), (Nagaon | 14416), (Raha | 1591)",8336,7072,5436,132,11
Nalbari,77,"(Paschim Nalbari | 45), (Barbhag | 32)",34,31,12,0,0
Sonitpur,170,(Dhekiajuli | 170),46,78,40,6,0
Tamulpur,102,"(Tamulpur | 0), (Goreswar | 102)",40,41,21,0,0
Tinsukia,118,"(Sadiya | 0), (Tinsukia | 0), (Doomdooma | 118)",43,31,33,11,0
Bajali,1260,"(Sarupeta | 1260), (Bajali | 0)",535,475,195,55,0
Darrang,871,"(Mangaldoi | 265), (Patharighat | 0), (Dalgaon | 0), (Sipajhar | 606)",233,453,170,10,5
Kamrup,2938,"(Rangia | 0), (Hajo | 2363), (Chamaria | 0), (Nagarbera | 0), (Kayan | 40), (North Ghy | 535)",1371,1153,414,0,0
Udalguri,309,"(Harisinga | 0), (Khairabari | 0), (Kalaigaon | 0), (Udalguri | 309)",128,114,65,1,1
Barpeta,11870,"(Barpeta | 6830), (Baghbar | 3023), (Chenga | 2017), (Kalgachia | 0), (Sarthebari | 0)",3012,4690,4098,64,6
Biswanath,631,"(Biswanath | 0), (Halem | 390), (Gohpur | 241)",255,275,87,14,0
Cachar,257821,"(Silchar | 168398), (Lakhipur | 2858), (Sonai | 42327), (Katigorah | 44238), (Udharbond | 0)",98307,95917,63394,200,3
Morigaon,175,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 175), (Bhuragaon | 0)",67,73,33,2,0
Lakhimpur,893,"(Bihpuria | 0), (Dhakuakhana | 0), (Nowboicha | 0), (Subansiri | 0), (North Lakhimpur | 0), (Kadam | 0), (Narayanpur | 893)",395,321,177,0,0
Karimganj,10573,"(Nilambazar | 413), (Badarpur | 1265), (Patherkandi | 0), (Karimganj | 8089), (RK Nagar | 806)",4484,3673,2401,12,3
Chirang,1179,"(Bijni | 942), (Bengtal | 237)",465,470,240,4,0
Hojai,474,"(Lanka | 0), (Hojai | 474)",271,142,58,3,0
Dima-Hasao,1430,(Haflong | 1430),503,554,317,55,1
Udalguri,271,"(Harisinga | 0), (Kalaigaon | 0), (Udalguri | 271)",120,110,40,0,1
Bajali,1005,"(Sarupeta | 1005), (Bajali | 0)",435,375,140,55,0
Barpeta,7534,"(Barpeta | 5659), (Baghbar | 983), (Chenga | 827), (Kalgachia | 0), (Sarthebari | 65)",2051,2769,2676,34,4
Cachar,257838,"(Udharbond | 0), (Silchar | 168398), (Katigorah | 44238), (Sonai | 42324), (Lakhipur | 2878)",98307,95937,63394,200,0
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Nalbari,64,"(Paschim Nalbari | 45), (Barbhag | 19)",29,25,9,1,0
Nagaon,20987,"(Kaliabor | 0), (Samaguri | 0), (Nagaon | 14416), (Raha | 1591), (Kampur | 4980)",8381,7027,5436,132,11
Morigaon,175,"(Mikirbheta | 0), (Bhuragaon | 0), (Morigaon | 175), (Mayong | 0)",67,73,33,2,0
Biswanath,44,"(Biswanath | 0), (Gohpur | 0), (Halem | 44)",14,21,9,0,0
Karimganj,11077,"(Nilambazar | 413), (Badarpur | 1013), (Karimganj | 8089), (RK Nagar | 1562)",4632,3848,2582,12,3
Kamrup,1785,"(Nagarbera | 0), (Chamaria | 0), (Hajo | 1210), (Kayan | 40), (North Ghy | 535)",874,741,170,0,0
Hojai,382,"(Hojai | 382), (Lanka | 0)",201,131,47,3,0
Hailakandi,78,"(Algapur | 0), (Lala | 0), (Katlicherra | 0), (Hailakandi | 78)",32,21,25,0,0
Dima-Hasao,1432,(Haflong | 1432),502,557,319,53,1
Dhemaji,279,"(Sissiborgaon | 0), (Gogamukh | 0), (Jonai | 0), (Dhemaji | 279)",62,111,84,21,1
Darrang,787,"(Dalgaon | 0), (Patharighat | 0), (Mangaldoi | 265), (Sipajhar | 522)",212,390,170,10,5
Chirang,863,"(Bengtal | 237), (Bijni | 626)",302,342,215,4,0
Tinsukia,361,"(Sadiya | 0), (Doomdooma | 158), (Tinsukia | 203)",108,124,117,12,0
Lakhimpur,501,"(Dhakuakhana | 0), (Bihpuria | 0), (North Lakhimpur | 0), (Kadam | 0), (Nowboicha | 0), (Subansiri | 95), (Narayanpur | 406)",152,239,100,10,0
Bajali,1280,"(Sarupeta | 1280), (Bajali | 0)",455,515,255,55,0
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Cachar,235661,"(Sonai | 20450), (Katigorah | 44238), (Silchar | 168398), (Lakhipur | 2575), (Udharbond | 0)",89412,88167,57952,130,0
Chirang,648,"(Bengtal | 0), (Bijni | 648)",230,258,158,2,0
Tinsukia,366,"(Sadiya | 0), (Tinsukia | 209), (Doomdooma | 157)",112,125,116,12,1
Nalbari,64,"(Barbhag | 19), (Paschim Nalbari | 45)",29,25,9,1,0
Darrang,522,"(Mangaldoi | 0), (Dalgaon | 0), (Patharighat | 0), (Sipajhar | 522)",92,310,120,0,0
Nagaon,15017,"(Kaliabor | 0), (Samaguri | 0), (Rupahi | 0), (Kampur | 4980), (Raha | 1591), (Nagaon | 8446)",5651,5181,4042,132,11
Biswanath,44,"(Gohpur | 0), (Halem | 44)",14,21,9,0,0
Dhemaji,394,"(Gogamukh | 0), (Jonai | 0), (Sissiborgaon | 0), (Dhemaji | 394)",210,92,71,21,0
Morigaon,28352,"(Morigaon | 23931), (Mikirbheta | 928), (Bhuragaon | 2915), (Mayong | 578)",10465,9691,8162,34,0
Lakhimpur,317,"(Dhakuakhana | 0), (Bihpuria | 0), (Kadam | 0), (Nowboicha | 0), (North Lakhimpur | 0), (Narayanpur | 222), (Subansiri | 95)",90,129,97,1,0
Karimganj,8096,"(Nilambazar | 413), (Badarpur | 952), (Patherkandi | 0), (RK Nagar | 1069), (Karimganj | 5662)",2894,2187,3000,12,3
Kamrup,1095,"(Nagarbera | 0), (Chamaria | 0), (Hajo | 810), (Kayan | 40), (North Ghy | 245)",501,371,223,0,0
Hojai,295,"(Lanka | 0), (Hojai | 295)",174,88,31,2,0
Hailakandi,5862,"(Lala | 0), (Algapur | 3497), (Katlicherra | 0), (Hailakandi | 2365)",2749,2046,1058,9,0
Dibrugarh,184,"(Chabua | 0), (Tengakhat | 0), (Naharkatia | 0), (Moran | 0), (Dibrugarh West | 0), (Tingkhong | 0), (Dibrugarh East | 184)",92,62,30,0,0
Udalguri,214,"(Khairabari | 0), (Harisinga | 0), (Kalaigaon | 0), (Udalguri | 214)",86,70,58,0,0
Dima-Hasao,1382,(Haflong | 1382),502,507,319,53,1
Barpeta,3589,"(Barpeta | 3253), (Sarthebari | 0), (Kalgachia | 0), (Chenga | 336)",934,1228,1409,16,2
Dibrugarh,203,"(Chabua | 0), (Moran | 0), (Dibrugarh West | 0), (Naharkatia | 0), (Tengakhat | 0), (Tingkhong | 0), (Dibrugarh East | 203)",101,80,22,0,0
Dima-Hasao,1421,(Haflong | 1421),509,546,314,51,1
Udalguri,309,"(Khairabari | 0), (Harisinga | 0), (Kalaigaon | 0), (Udalguri | 309)",128,115,65,0,1
Tinsukia,358,"(Margherita | 0), (Tinsukia | 203), (Doomdooma | 155)",121,120,104,12,1
Bajali,1280,"(Bajali | 0), (Sarupeta | 1280)",455,515,255,55,0
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Nalbari,26,(Paschim Nalbari | 26),12,9,5,0,0
Biswanath,44,"(Gohpur | 0), (Halem | 44)",14,21,9,0,0
Barpeta,3407,"(Barpeta | 3249), (Baghbar | 0), (Kalgachia | 0), (Chenga | 158), (Sarthebari | 0)",822,1190,1393,2,0
Nagaon,12922,"(Kaliabor | 0), (Samaguri | 0), (Rupahi | 0), (Nagaon | 6351), (Kampur | 4980), (Raha | 1591)",4828,4436,3515,132,11
Morigaon,5107,"(Mikirbheta | 928), (Morigaon | 482), (Mayong | 0), (Laharighat | 0), (Bhuragaon | 3697)",1867,1808,1381,51,0
Karimganj,5842,"(Nilambazar | 368), (Badarpur | 824), (Patherkandi | 0), (Karimganj | 3770), (RK Nagar | 880)",2645,1617,1580,0,0
Kamrup,965,"(Chamaria | 0), (Hajo | 752), (North Ghy | 175), (Kayan | 38)",467,328,170,0,0
Hojai,408,"(Lanka | 0), (Hojai | 408)",225,131,49,3,0
Hailakandi,2136,"(Katlicherra | 0), (Lala | 0), (Hailakandi | 0), (Algapur | 2136)",1135,674,320,7,0
Chirang,648,(Bijni | 648),230,258,158,2,0
Cachar,242157,"(Udharbond | 0), (Silchar | 143368), (Sonai | 20450), (Lakhipur | 2075), (Katigorah | 76264)",107755,74206,60096,100,0
Bajali,1280,(Sarupeta | 1280),455,515,255,55,0
Tinsukia,54,"(Tinsukia | 40), (Doomdooma | 14)",17,25,12,0,0
Udalguri,309,"(Khairabari | 0), (Harisinga | 0), (Kalaigaon | 0), (Udalguri | 309)",128,115,65,0,1
Hailakandi,1996,"(Lala | 0), (Algapur | 1996), (Katlicherra | 0), (Hailakandi | 0)",875,730,385,6,0
Karimganj,4562,"(Nilambazar | 368), (Badarpur | 727), (RK Nagar | 892), (Karimganj | 2575)",2083,1267,1200,12,0
Dima-Hasao,1409,(Haflong | 1409),502,546,308,52,1
Kamrup,692,"(North Ghy | 115), (Kayan | 38), (Hajo | 539)",312,264,116,0,0
Nagaon,12177,"(Samaguri | 0), (Rupahi | 0), (Nagaon | 5606), (Raha | 1591), (Kampur | 4980)",4578,4191,3294,107,7
Morigaon,25836,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 21817), (Laharighat | 0), (Bhuragaon | 4019)",11715,10738,3327,56,0
Chirang,580,(Bijni | 580),206,235,136,3,0
Cachar,225569,"(Katigorah | 76249), (Lakhipur | 2075), (Udharbond | 0), (Sonai | 16897), (Silchar | 130348)",101726,68346,55432,65,0
Barpeta,2887,"(Barpeta | 2784), (Kalgachia | 0), (Chenga | 103), (Baghbar | 0)",568,1178,1139,2,0
Nalbari,26,(Paschim Nalbari | 26),12,9,5,0,0
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Dibrugarh,215,"(Dibrugarh West | 0), (Moran | 0), (Chabua | 0), (Naharkatia | 0), (Tingkhong | 0), (Tengakhat | 0), (Dibrugarh East | 215)",106,88,21,0,0
Hojai,366,"(Lanka | 0), (Hojai | 366)",201,121,41,3,0
Udalguri,309,"(Harisinga | 0), (Kalaigaon | 0), (Udalguri | 309)",128,115,65,0,1
Nagaon,11260,"(Samaguri | 0), (Nagaon | 4689), (Kampur | 4980), (Raha | 1591)",4195,3838,3113,107,7
Tamulpur,102,"(Tamulpur | 0), (Goreswar | 102)",40,41,21,0,0
Karimganj,4023,"(Nilambazar | 368), (Badarpur | 654), (Karimganj | 2109), (RK Nagar | 892)",1855,1155,1013,0,0
Bajali,1280,(Sarupeta | 1280),455,515,255,55,0
Barpeta,1694,"(Barpeta | 1694), (Baghbar | 0), (Kalgachia | 0)",442,510,740,2,0
Cachar,127107,"(Katigorah | 65295), (Silchar | 43365), (Udharbond | 0), (Sonai | 16897), (Lakhipur | 1550)",48330,44754,34023,0,0
Chirang,580,(Bijni | 580),206,235,136,3,0
Morigaon,5520,"(Mikirbheta | 928), (Mayong | 0), (Laharighat | 0), (Morigaon | 573), (Bhuragaon | 4019)",2012,1993,1459,56,0
Dima-Hasao,1396,(Haflong | 1396),494,550,299,52,1
Dibrugarh,215,"(Moran | 0), (Tengakhat | 0), (Chabua | 0), (Dibrugarh West | 0), (Naharkatia | 0), (Tingkhong | 0), (Dibrugarh East | 215)",106,88,21,0,0
Hailakandi,1075,"(Lala | 0), (Katlicherra | 0), (Algapur | 1075)",380,365,330,0,0
Hojai,548,"(Lanka | 0), (Hojai | 548)",302,198,45,3,0
Kamrup,162,"(North Ghy | 100), (Kayan | 38), (Hajo | 24)",63,73,26,0,0
Cachar,123970,"(Udharbond | 0), (Sonai | 13766), (Lakhipur | 1550), (Silchar | 43359), (Katigorah | 65295)",43508,42379,38083,0,0
Chirang,513,"(Bengtal | 0), (Bijni | 513)",173,208,130,2,0
Dibrugarh,190,"(Moran | 0), (Chabua | 0), (Tingkhong | 0), (Naharkatia | 0), (Dibrugarh West | 0), (Dibrugarh East | 190)",104,68,18,0,0
Bajali,1280,(Sarupeta | 1280),455,515,255,55,0
Hailakandi,1075,"(Hailakandi | 0), (Lala | 0), (Katlicherra | 0), (Algapur | 1075)",380,365,330,0,0
Kamrup,138,"(Kayan | 38), (North Ghy | 100)",54,61,23,0,0
Karimganj,3307,"(Nilambazar | 368), (Badarpur | 654), (Patherkandi | 0), (Karimganj | 1567), (RK Nagar | 718)",1562,955,790,0,0
Morigaon,5518,"(Mikirbheta | 1620), (Morigaon | 573), (Mayong | 0), (Bhuragaon | 3325)",2026,1970,1493,29,0
Nagaon,10527,"(Samaguri | 0), (Nagaon | 3956), (Raha | 1591), (Kampur | 4980)",4187,3514,2719,101,6
Barpeta,95,"(Barpeta | 95), (Kalgachia | 0)",25,50,20,0,0
Dima-Hasao,1407,(Haflong | 1407),500,548,308,50,1
Tamulpur,102,(Goreswar | 102),40,41,21,0,0
Bajali,475,(Sarupeta | 475),205,190,45,35,0
Cachar,121472,"(Silchar | 41197), (Katigorah | 65295), (Sonai | 13430), (Lakhipur | 1550), (Udharbond | 0)",42163,41580,37729,0,0
Chirang,153,(Bijni | 153),65,55,33,0,0
Dibrugarh,143,"(Moran | 0), (Chabua | 0), (Naharkatia | 0), (Dibrugarh East | 143), (Dibrugarh West | 0)",91,34,18,0,0
Dima-Hasao,1405,(Haflong | 1405),500,548,306,50,1
Tamulpur,102,"(Tamulpur | 0), (Goreswar | 102)",40,41,21,0,0
Nagaon,6545,"(Samaguri | 0), (Kampur | 2159), (Nagaon | 2796), (Raha | 1590)",2654,2136,1674,76,5
Morigaon,1398,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 930), (Bhuragaon | 468)",574,599,223,2,0
Karimganj,2483,"(Nilambazar | 368), (RK Nagar | 523), (Badarpur | 512), (Karimganj | 1080)",1122,756,605,0,0
