District,Total,Relief Camp,Relief Distribution Centres
Bongaigaon,76,"32(Manikpur | 3, Boitamari | 2, Srijangram | 27)","44(Manikpur | 0, Boitamari | 5, Srijangram | 39)"
Cachar,155,"139(Silchar | 57, Lakhipur | 22, Sonai | 14, Udharbond | 1, Katigorah | 45)","16(Silchar | 0, Lakhipur | 0, Sonai | 0, Udharbond | 0, Katigorah | 16)"
Chirang,6,"6(Bijni | 4, Bengtal | 2)","0(Bijni | 0, Bengtal | 0)"
Darrang,108,"12(Mangaldoi | 4, Dalgaon | 1, Sipajhar | 7, Patharighat | 0)","96(Mangaldoi | 55, Dalgaon | 20, Sipajhar | 11, Patharighat | 10)"
Dhemaji,6,"0(Jonai | 0, Sissiborgaon | 0)","6(Jonai | 5, Sissiborgaon | 1)"
Dhubri,60,"36(Dhubri | 2, Chapar | 1, Bilasipara | 29, Athani | 4, South Salmara Part | 0)","24(Dhubri | 1, Chapar | 0, Bilasipara | 0, Athani | 0, South Salmara Part | 23)"
Dima-Hasao,32,27(Haflong | 27),5(Haflong | 5)
Hailakandi,15,"0(Algapur | 0, Hailakandi | 0, Lala | 0)","15(Algapur | 9, Hailakandi | 1, Lala | 5)"
Golaghat,15,0(Bokakhat | 0),15(Bokakhat | 15)
Hojai,64,"45(Hojai | 31, Doboka | 14, Lanka | 0)","19(Hojai | 7, Doboka | 7, Lanka | 5)"
Kamrup,117,"85(Rangia | 23, Kayan | 19, Kamalpur | 25, Hajo | 6, North Ghy | 12)","32(Rangia | 4, Kayan | 3, Kamalpur | 25, Hajo | 0, North Ghy | 0)"
Karbi Anglong West,4,0(Donkamokam | 0),4(Donkamokam | 4)
Karimganj,131,"46(Patherkandi | 3, Badarpur | 20, Karimganj | 23, Nilambazar | 0, RK Nagar | 0)","85(Patherkandi | 19, Badarpur | 16, Karimganj | 3, Nilambazar | 23, RK Nagar | 24)"
Barpeta,147,"132(Barpeta | 76, Chenga | 37, Baghbar | 10, Sarthebari | 9, Barnagar | 0)","15(Barpeta | 0, Chenga | 7, Baghbar | 0, Sarthebari | 7, Barnagar | 1)"
Baksa,2,2(Barama | 2),0(Barama | 0)
Goalpara,156,"86(Matia | 5, Balijana | 40, Lakhipur | 41)","70(Matia | 0, Balijana | 29, Lakhipur | 41)"
Biswanath,2,0(Halem | 0),2(Halem | 2)
Bajali,116,"20(Sarupeta | 9, Bajali | 11)","96(Sarupeta | 1, Bajali | 95)"
Majuli,6,0(Majuli | 0),6(Majuli | 6)
Morigaon,21,"0(Mayong | 0, Bhuragaon | 0, Morigaon | 0)","21(Mayong | 13, Bhuragaon | 1, Morigaon | 7)"
Nagaon,147,"56(Nagaon | 26, Kampur | 17, Raha | 13)","91(Nagaon | 12, Kampur | 40, Raha | 39)"
Nalbari,135,"103(Barkhetri | 4, Banekuchi | 9, Tihu | 20, Barbhag | 20, Paschim Nalbari | 21, Nalbari | 29, Ghograpar | 0)","32(Barkhetri | 3, Banekuchi | 0, Tihu | 0, Barbhag | 0, Paschim Nalbari | 18, Nalbari | 0, Ghograpar | 11)"
Sonitpur,39,"1(Dhekiajuli | 1, Chariduar | 0, Thelamara | 0, Tezpur | 0)","38(Dhekiajuli | 13, Chariduar | 5, Thelamara | 4, Tezpur | 16)"
South Salmara,35,"0(South Salmara | 0, Mankachar | 0)","35(South Salmara | 8, Mankachar | 27)"
Tamulpur,43,"19(Goreswar | 6, Tamulpur | 13)","24(Goreswar | 12, Tamulpur | 12)"
Udalguri,28,"15(Udalguri | 5, Mazbat | 6, Harisinga | 2, Kalaigaon | 2, Khairabari | 0)","13(Udalguri | 11, Mazbat | 0, Harisinga | 0, Kalaigaon | 0, Khairabari | 2)"
Lakhimpur,21,"0(Bihpuria | 0, Nowboicha | 0, Subansiri | 0, Narayanpur | 0, North Lakhimpur | 0)","21(Bihpuria | 3, Nowboicha | 10, Subansiri | 6, Narayanpur | 1, North Lakhimpur | 1)"
Karimganj,103,"65(Badarpur | 23, Karimganj | 37, Patherkandi | 5, Nilambazar | 0, RK Nagar | 0)","38(Badarpur | 5, Karimganj | 3, Patherkandi | 0, Nilambazar | 5, RK Nagar | 25)"
Lakhimpur,24,"0(Subansiri | 0, Bihpuria | 0, Dhakuakhana | 0, Narayanpur | 0, Nowboicha | 0)","24(Subansiri | 4, Bihpuria | 9, Dhakuakhana | 1, Narayanpur | 3, Nowboicha | 7)"
Majuli,5,0(Majuli | 0),5(Majuli | 5)
Morigaon,24,"1(Morigaon | 1, Mayong | 0)","23(Morigaon | 12, Mayong | 11)"
Nagaon,300,"63(Nagaon | 33, Kampur | 17, Raha | 13, Kaliabor | 0)","237(Nagaon | 48, Kampur | 109, Raha | 78, Kaliabor | 2)"
Tamulpur,21,"10(Goreswar | 6, Tamulpur | 4)","11(Goreswar | 7, Tamulpur | 4)"
Sonitpur,8,"1(Dhekiajuli | 1, Thelamara | 0, Chariduar | 0, Tezpur | 0)","7(Dhekiajuli | 1, Thelamara | 2, Chariduar | 2, Tezpur | 2)"
South Salmara,45,"10(Mankachar | 10, South Salmara | 0)","35(Mankachar | 27, South Salmara | 8)"
Karbi Anglong West,3,0(Donkamokam | 0),3(Donkamokam | 3)
Udalguri,24,"13(Harisinga | 2, Udalguri | 3, Mazbat | 6, Kalaigaon | 2)","11(Harisinga | 0, Udalguri | 11, Mazbat | 0, Kalaigaon | 0)"
Nalbari,130,"69(Tihu | 20, Paschim Nalbari | 18, Barbhag | 20, Banekuchi | 3, Barkhetri | 4, Nalbari | 4, Ghograpar | 0)","61(Tihu | 23, Paschim Nalbari | 21, Barbhag | 0, Banekuchi | 0, Barkhetri | 4, Nalbari | 0, Ghograpar | 13)"
Kamrup (M),5,0(Sonapur | 0),5(Sonapur | 5)
Barpeta,175,"142(Baghbar | 15, Barpeta | 79, Sarthebari | 11, Chenga | 37, Kalgachia | 0)","33(Baghbar | 1, Barpeta | 0, Sarthebari | 11, Chenga | 16, Kalgachia | 5)"
Hojai,64,"33(Hojai | 19, Doboka | 14, Lanka | 0)","31(Hojai | 19, Doboka | 11, Lanka | 1)"
Bajali,109,"13(Sarupeta | 10, Bajali | 3)","96(Sarupeta | 1, Bajali | 95)"
Baksa,3,"1(Barama | 1, Barnagar RC part | 0)","2(Barama | 0, Barnagar RC part | 2)"
Bongaigaon,31,"15(Boitamari | 2, Manikpur | 3, Srijangram | 10)","16(Boitamari | 3, Manikpur | 1, Srijangram | 12)"
Chirang,8,"8(Bijni | 4, Bengtal | 4)","0(Bijni | 0, Bengtal | 0)"
Darrang,119,"10(Dalgaon | 1, Sipajhar | 5, Mangaldoi | 4, Patharighat | 0)","109(Dalgaon | 0, Sipajhar | 38, Mangaldoi | 55, Patharighat | 16)"
Cachar,258,"175(Katigorah | 45, Lakhipur | 22, Silchar | 63, Sonai | 44, Udharbond | 1)","83(Katigorah | 0, Lakhipur | 0, Silchar | 83, Sonai | 0, Udharbond | 0)"
Dibrugarh,1,0(Chabua | 0),1(Chabua | 1)
Dima-Hasao,37,28(Haflong | 28),9(Haflong | 9)
Goalpara,161,"81(Matia | 4, Lakhipur | 50, Balijana | 27)","80(Matia | 3, Lakhipur | 50, Balijana | 27)"
Golaghat,4,0(Bokakhat | 0),4(Bokakhat | 4)
Hailakandi,36,"9(Hailakandi | 7, Lala | 2, Algapur | 0, Katlicherra | 0)","27(Hailakandi | 11, Lala | 2, Algapur | 10, Katlicherra | 4)"
Dhubri,65,"21(Dhubri | 4, Bilasipara | 15, Athani | 2, South Salmara Part | 0)","44(Dhubri | 0, Bilasipara | 21, Athani | 0, South Salmara Part | 23)"
Kamrup,108,"77(Rangia | 18, North Ghy | 14, Kamalpur | 25, Kayan | 19, Hajo | 1)","31(Rangia | 2, North Ghy | 4, Kamalpur | 25, Kayan | 0, Hajo | 0)"
Morigaon,24,"1(Morigaon | 1, Mayong | 0, Mikirbheta | 0)","23(Morigaon | 7, Mayong | 13, Mikirbheta | 3)"
Karbi Anglong West,3,0(Donkamokam | 0),3(Donkamokam | 3)
Karimganj,153,"71(Nilambazar | 5, Badarpur | 23, Karimganj | 38, Patherkandi | 5, RK Nagar | 0)","82(Nilambazar | 22, Badarpur | 6, Karimganj | 17, Patherkandi | 12, RK Nagar | 25)"
Lakhimpur,7,"0(Bihpuria | 0, North Lakhimpur | 0, Nowboicha | 0, Kadam | 0)","7(Bihpuria | 2, North Lakhimpur | 1, Nowboicha | 2, Kadam | 2)"
Majuli,1,0(Majuli | 0),1(Majuli | 1)
Tinsukia,2,0(Tinsukia | 0),2(Tinsukia | 2)
Sonitpur,3,1(Dhekiajuli | 1),2(Dhekiajuli | 2)
South Salmara,44,"9(Mankachar | 9, South Salmara | 0)","35(Mankachar | 27, South Salmara | 8)"
Tamulpur,16,"7(Goreswar | 5, Tamulpur | 2)","9(Goreswar | 7, Tamulpur | 2)"
Kamrup (M),3,0(Chandrapur | 0),3(Chandrapur | 3)
Udalguri,22,"9(Udalguri | 3, Mazbat | 6)","13(Udalguri | 13, Mazbat | 0)"
Nalbari,47,"43(Paschim Nalbari | 17, Barbhag | 16, Tihu | 4, Barkhetri | 4, Nalbari | 2)","4(Paschim Nalbari | 0, Barbhag | 0, Tihu | 0, Barkhetri | 4, Nalbari | 0)"
Kamrup,109,"64(Rangia | 13, Hajo | 2, Kayan | 17, Kamalpur | 19, North Ghy | 13, Palashbari | 0, Chamaria | 0)","45(Rangia | 1, Hajo | 0, Kayan | 10, Kamalpur | 25, North Ghy | 4, Palashbari | 3, Chamaria | 2)"
Nagaon,98,"64(Nagaon | 35, Kampur | 17, Raha | 12)","34(Nagaon | 34, Kampur | 0, Raha | 0)"
Hailakandi,18,"2(Algapur | 1, Hailakandi | 1, Lala | 0)","16(Algapur | 4, Hailakandi | 6, Lala | 6)"
Hojai,53,"28(Hojai | 14, Doboka | 14, Lanka | 0)","25(Hojai | 17, Doboka | 6, Lanka | 2)"
Bajali,35,"13(Sarupeta | 11, Bajali | 2)","22(Sarupeta | 1, Bajali | 21)"
Baksa,8,0(Barnagar RC part | 0),8(Barnagar RC part | 8)
Barpeta,170,"145(Barpeta | 80, Baghbar | 17, Chenga | 37, Sarthebari | 11, Kalgachia | 0)","25(Barpeta | 0, Baghbar | 1, Chenga | 10, Sarthebari | 5, Kalgachia | 9)"
Bongaigaon,43,"9(Boitamari | 2, Manikpur | 3, Srijangram | 4)","34(Boitamari | 1, Manikpur | 0, Srijangram | 33)"
Cachar,260,"175(Katigorah | 45, Silchar | 63, Sonai | 44, Lakhipur | 22, Udharbond | 1)","85(Katigorah | 0, Silchar | 85, Sonai | 0, Lakhipur | 0, Udharbond | 0)"
Goalpara,133,"64(Matia | 3, Lakhipur | 43, Balijana | 18)","69(Matia | 0, Lakhipur | 43, Balijana | 26)"
Darrang,59,"6(Mangaldoi | 2, Sipajhar | 3, Dalgaon | 1, Patharighat | 0)","53(Mangaldoi | 31, Sipajhar | 12, Dalgaon | 0, Patharighat | 10)"
Chirang,6,"6(Bijni | 3, Bengtal | 3)","0(Bijni | 0, Bengtal | 0)"
Dhemaji,12,"0(Jonai | 0, Dhemaji | 0)","12(Jonai | 11, Dhemaji | 1)"
Dhubri,25,"14(Bilasipara | 10, Dhubri | 4)","11(Bilasipara | 0, Dhubri | 11)"
Dibrugarh,6,"0(Chabua | 0, Dibrugarh West | 0)","6(Chabua | 5, Dibrugarh West | 1)"
Dima-Hasao,30,28(Haflong | 28),2(Haflong | 2)
Golaghat,5,0(Bokakhat | 0),5(Bokakhat | 5)
Karbi Anglong West,3,0(Donkamokam | 0),3(Donkamokam | 3)
Karimganj,114,"59(Karimganj | 26, Badarpur | 23, Nilambazar | 5, Patherkandi | 5, RK Nagar | 0)","55(Karimganj | 0, Badarpur | 23, Nilambazar | 7, Patherkandi | 0, RK Nagar | 25)"
Lakhimpur,8,"0(Bihpuria | 0, North Lakhimpur | 0, Nowboicha | 0)","8(Bihpuria | 5, North Lakhimpur | 1, Nowboicha | 2)"
Morigaon,29,"1(Morigaon | 1, Mayong | 0)","28(Morigaon | 26, Mayong | 2)"
Nalbari,23,"20(Paschim Nalbari | 10, Barbhag | 6, Tihu | 1, Nalbari | 3, Barkhetri | 0)","3(Paschim Nalbari | 0, Barbhag | 0, Tihu | 0, Nalbari | 0, Barkhetri | 3)"
Kamrup,90,"51(Rangia | 12, Kayan | 10, Kamalpur | 15, North Ghy | 14, Hajo | 0, Chamaria | 0)","39(Rangia | 1, Kayan | 0, Kamalpur | 15, North Ghy | 0, Hajo | 21, Chamaria | 2)"
Sonitpur,2,"1(Dhekiajuli | 1, Tezpur | 0)","1(Dhekiajuli | 0, Tezpur | 1)"
South Salmara,33,"9(Mankachar | 9, South Salmara | 0)","24(Mankachar | 16, South Salmara | 8)"
Tamulpur,2,1(Tamulpur | 1),1(Tamulpur | 1)
Udalguri,5,"2(Udalguri | 2, Khairabari | 0)","3(Udalguri | 2, Khairabari | 1)"
Nagaon,104,"65(Kampur | 17, Nagaon | 36, Raha | 12)","39(Kampur | 0, Nagaon | 0, Raha | 39)"
Hojai,37,"20(Hojai | 12, Doboka | 8)","17(Hojai | 12, Doboka | 5)"
Dhubri,30,"9(Bilasipara | 7, Dhubri | 2)","21(Bilasipara | 21, Dhubri | 0)"
Goalpara,34,"34(Matia | 3, Lakhipur | 17, Balijana | 14)","0(Matia | 0, Lakhipur | 0, Balijana | 0)"
Dima-Hasao,34,28(Haflong | 28),6(Haflong | 6)
Dhemaji,11,"0(Jonai | 0, Sissiborgaon | 0, Dhemaji | 0)","11(Jonai | 2, Sissiborgaon | 5, Dhemaji | 4)"
Darrang,74,"3(Sipajhar | 1, Mangaldoi | 2, Patharighat | 0, Dalgaon | 0)","71(Sipajhar | 43, Mangaldoi | 20, Patharighat | 1, Dalgaon | 7)"
Chirang,3,3(Bijni | 3),0(Bijni | 0)
Bongaigaon,1,1(Srijangram | 1),0(Srijangram | 0)
Barpeta,224,"171(Barpeta | 112, Baghbar | 19, Chenga | 37, Sarthebari | 3, Kalgachia | 0)","53(Barpeta | 0, Baghbar | 1, Chenga | 7, Sarthebari | 4, Kalgachia | 41)"
Baksa,3,"0(Baganpara | 0, Jalah | 0)","3(Baganpara | 2, Jalah | 1)"
Bajali,21,"12(Sarupeta | 11, Bajali | 1)","9(Sarupeta | 1, Bajali | 8)"
Hailakandi,17,"3(Hailakandi | 3, Algapur | 0)","14(Hailakandi | 8, Algapur | 6)"
Cachar,224,"224(Katigorah | 94, Lakhipur | 22, Silchar | 63, Sonai | 44, Udharbond | 1)","0(Katigorah | 0, Lakhipur | 0, Silchar | 0, Sonai | 0, Udharbond | 0)"
Cachar,333,"229(Sonai | 50, Silchar | 63, Lakhipur | 22, Katigorah | 94)","104(Sonai | 0, Silchar | 88, Lakhipur | 0, Katigorah | 16)"
Barpeta,116,"113(Baghbar | 20, Barpeta | 60, Chenga | 33)","3(Baghbar | 1, Barpeta | 0, Chenga | 2)"
Baksa,1,0(Jalah | 0),1(Jalah | 1)
Darrang,7,"3(Sipajhar | 1, Mangaldoi | 2)","4(Sipajhar | 4, Mangaldoi | 0)"
Lakhimpur,1,0(Dhakuakhana | 0),1(Dhakuakhana | 1)
Hailakandi,7,"1(Hailakandi | 1, Algapur | 0)","6(Hailakandi | 2, Algapur | 4)"
Kamrup,53,"33(Kayan | 2, Hajo | 19, Kamalpur | 2, North Ghy | 10, Rangia | 0, Chamaria | 0)","20(Kayan | 0, Hajo | 14, Kamalpur | 2, North Ghy | 2, Rangia | 1, Chamaria | 1)"
Dima-Hasao,25,23(Haflong | 23),2(Haflong | 2)
Karimganj,48,"46(Nilambazar | 7, Karimganj | 20, Badarpur | 16, Patherkandi | 3)","2(Nilambazar | 0, Karimganj | 0, Badarpur | 2, Patherkandi | 0)"
Goalpara,9,9(Lakhipur | 9),0(Lakhipur | 0)
Udalguri,2,2(Udalguri | 2),0(Udalguri | 0)
Chirang,3,3(Bijni | 3),0(Bijni | 0)
Sonitpur,1,1(Dhekiajuli | 1),0(Dhekiajuli | 0)
Nalbari,6,"6(Paschim Nalbari | 4, Barbhag | 2)","0(Paschim Nalbari | 0, Barbhag | 0)"
Nagaon,74,"66(Nagaon | 36, Kampur | 17, Raha | 13)","8(Nagaon | 8, Kampur | 0, Raha | 0)"
Morigaon,24,"1(Morigaon | 1, Mikirbheta | 0, Mayong | 0)","23(Morigaon | 12, Mikirbheta | 10, Mayong | 1)"
Tamulpur,3,2(Goreswar | 2),1(Goreswar | 1)
Majuli,2,0(Majuli | 0),2(Majuli | 2)
Udalguri,2,2(Udalguri | 2),0(Udalguri | 0)
Bajali,8,7(Sarupeta | 7),1(Sarupeta | 1)
Tinsukia,1,0(Doomdooma | 0),1(Doomdooma | 1)
Tamulpur,3,2(Goreswar | 2),1(Goreswar | 1)
Sonitpur,1,1(Dhekiajuli | 1),0(Dhekiajuli | 0)
Cachar,233,"233(Katigorah | 94, Sonai | 50, Silchar | 63, Lakhipur | 26)","0(Katigorah | 0, Sonai | 0, Silchar | 0, Lakhipur | 0)"
Morigaon,11,"1(Morigaon | 1, Mikirbheta | 0, Mayong | 0)","10(Morigaon | 0, Mikirbheta | 9, Mayong | 1)"
Biswanath,4,"2(Halem | 1, Gohpur | 1)","2(Halem | 2, Gohpur | 0)"
Bongaigaon,11,"0(Manikpur | 0, Srijangram | 0)","11(Manikpur | 6, Srijangram | 5)"
Chirang,18,"11(Bijni | 9, Bengtal | 2, Sidli | 0)","7(Bijni | 4, Bengtal | 0, Sidli | 3)"
Darrang,7,"3(Mangaldoi | 2, Sipajhar | 1)","4(Mangaldoi | 0, Sipajhar | 4)"
Dhemaji,2,"1(Dhemaji | 1, Sissiborgaon | 0)","1(Dhemaji | 0, Sissiborgaon | 1)"
Dima-Hasao,24,23(Haflong | 23),1(Haflong | 1)
Nalbari,4,"4(Paschim Nalbari | 2, Barbhag | 2)","0(Paschim Nalbari | 0, Barbhag | 0)"
Goalpara,9,9(Lakhipur | 9),0(Lakhipur | 0)
Hojai,11,4(Hojai | 4),7(Hojai | 7)
Kamrup,32,"26(North Ghy | 6, Kayan | 2, Kamalpur | 2, Hajo | 16)","6(North Ghy | 0, Kayan | 0, Kamalpur | 0, Hajo | 6)"
Karimganj,61,"51(Nilambazar | 7, Karimganj | 20, RK Nagar | 5, Badarpur | 16, Patherkandi | 3)","10(Nilambazar | 0, Karimganj | 0, RK Nagar | 0, Badarpur | 0, Patherkandi | 10)"
Lakhimpur,5,"0(Dhakuakhana | 0, Bihpuria | 0)","5(Dhakuakhana | 1, Bihpuria | 4)"
Majuli,2,0(Ujani Majuli | 0),2(Ujani Majuli | 2)
Hailakandi,3,"1(Hailakandi | 1, Algapur | 0)","2(Hailakandi | 1, Algapur | 1)"
Nagaon,66,"66(Nagaon | 36, Raha | 13, Kampur | 17)","0(Nagaon | 0, Raha | 0, Kampur | 0)"
Barpeta,109,"108(Barpeta | 56, Baghbar | 20, Chenga | 32, Sarthebari | 0)","1(Barpeta | 0, Baghbar | 0, Chenga | 0, Sarthebari | 1)"
Sonitpur,1,1(Dhekiajuli | 1),0(Dhekiajuli | 0)
Bajali,7,7(Sarupeta | 7),0(Sarupeta | 0)
Barpeta,108,"108(Barpeta | 56, Baghbar | 20, Chenga | 32)","0(Barpeta | 0, Baghbar | 0, Chenga | 0)"
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0)
Cachar,332,"249(Silchar | 87, Lakhipur | 18, Sonai | 50, Katigorah | 94)","83(Silchar | 67, Lakhipur | 0, Sonai | 0, Katigorah | 16)"
Chirang,7,"7(Bijni | 5, Bengtal | 2)","0(Bijni | 0, Bengtal | 0)"
Darrang,7,"3(Mangaldoi | 2, Sipajhar | 1)","4(Mangaldoi | 0, Sipajhar | 4)"
Dhemaji,9,"1(Dhemaji | 1, Sissiborgaon | 0)","8(Dhemaji | 6, Sissiborgaon | 2)"
Dibrugarh,1,0(Moran | 0),1(Moran | 1)
Dima-Hasao,26,23(Haflong | 23),3(Haflong | 3)
Hailakandi,1,0(Algapur | 0),1(Algapur | 1)
Hojai,11,"4(Hojai | 4, Lanka | 0)","7(Hojai | 5, Lanka | 2)"
Kamrup,30,"24(Hajo | 17, Kayan | 2, North Ghy | 5)","6(Hajo | 4, Kayan | 0, North Ghy | 2)"
Biswanath,13,"7(Halem | 5, Gohpur | 2, Biswanath | 0)","6(Halem | 2, Gohpur | 0, Biswanath | 4)"
Lakhimpur,25,"4(Narayanpur | 4, Subansiri | 0, North Lakhimpur | 0)","21(Narayanpur | 12, Subansiri | 8, North Lakhimpur | 1)"
Nalbari,2,"2(Paschim Nalbari | 1, Barbhag | 1)","0(Paschim Nalbari | 0, Barbhag | 0)"
Tinsukia,14,"2(Doomdooma | 2, Tinsukia | 0)","12(Doomdooma | 5, Tinsukia | 7)"
Udalguri,2,2(Udalguri | 2),0(Udalguri | 0)
Karimganj,66,"48(Nilambazar | 7, Badarpur | 16, Karimganj | 20, RK Nagar | 5)","18(Nilambazar | 18, Badarpur | 0, Karimganj | 0, RK Nagar | 0)"
Nagaon,144,"65(Kampur | 17, Nagaon | 35, Raha | 13)","79(Kampur | 0, Nagaon | 34, Raha | 45)"
Morigaon,30,"1(Morigaon | 1, Mikirbheta | 0)","29(Morigaon | 15, Mikirbheta | 14)"
Majuli,2,"0(Majuli | 0, Ujani Majuli | 0)","2(Majuli | 1, Ujani Majuli | 1)"
Tinsukia,26,"5(Doomdooma | 3, Tinsukia | 2, Sadiya | 0)","21(Doomdooma | 2, Tinsukia | 17, Sadiya | 2)"
Tamulpur,4,2(Goreswar | 2),2(Goreswar | 2)
Sonitpur,1,0(Dhekiajuli | 0),1(Dhekiajuli | 1)
Nalbari,2,"2(Paschim Nalbari | 1, Barbhag | 1)","0(Paschim Nalbari | 0, Barbhag | 0)"
Kamrup,27,"23(Kayan | 2, North Ghy | 5, Hajo | 16)","4(Kayan | 0, North Ghy | 1, Hajo | 3)"
Morigaon,27,"1(Morigaon | 1, Mikirbheta | 0)","26(Morigaon | 11, Mikirbheta | 15)"
Majuli,10,0(Majuli | 0),10(Majuli | 10)
Lakhimpur,29,"3(Subansiri | 1, Narayanpur | 2, Dhakuakhana | 0, Bihpuria | 0, Nowboicha | 0)","26(Subansiri | 6, Narayanpur | 10, Dhakuakhana | 2, Bihpuria | 2, Nowboicha | 6)"
Karimganj,63,"59(Nilambazar | 7, Karimganj | 20, RK Nagar | 19, Badarpur | 13)","4(Nilambazar | 2, Karimganj | 0, RK Nagar | 0, Badarpur | 2)"
Udalguri,2,2(Udalguri | 2),0(Udalguri | 0)
Nagaon,176,"65(Nagaon | 35, Raha | 13, Kampur | 17)","111(Nagaon | 14, Raha | 0, Kampur | 97)"
Hojai,7,4(Hojai | 4),3(Hojai | 3)
Dima-Hasao,27,23(Haflong | 23),4(Haflong | 4)
Biswanath,21,"1(Halem | 1, Biswanath | 0)","20(Halem | 19, Biswanath | 1)"
Cachar,354,"275(Silchar | 109, Katigorah | 94, Sonai | 54, Lakhipur | 18)","79(Silchar | 0, Katigorah | 0, Sonai | 79, Lakhipur | 0)"
Chirang,6,"6(Bengtal | 2, Bijni | 4)","0(Bengtal | 0, Bijni | 0)"
Hailakandi,1,1(Hailakandi | 1),0(Hailakandi | 0)
Barpeta,67,"67(Barpeta | 40, Baghbar | 12, Chenga | 15)","0(Barpeta | 0, Baghbar | 0, Chenga | 0)"
Darrang,17,"3(Mangaldoi | 2, Sipajhar | 1)","14(Mangaldoi | 14, Sipajhar | 0)"
Dhemaji,29,"2(Dhemaji | 2, Sissiborgaon | 0, Gogamukh | 0, Jonai | 0)","27(Dhemaji | 3, Sissiborgaon | 5, Gogamukh | 7, Jonai | 12)"
Dibrugarh,3,"0(Chabua | 0, Tengakhat | 0)","3(Chabua | 1, Tengakhat | 2)"
Bajali,7,7(Sarupeta | 7),0(Sarupeta | 0)
Kamrup,20,"17(Kayan | 2, Hajo | 11, North Ghy | 4)","3(Kayan | 0, Hajo | 3, North Ghy | 0)"
Hojai,3,3(Hojai | 3),0(Hojai | 0)
Karimganj,41,"38(Nilambazar | 7, Badarpur | 10, RK Nagar | 6, Karimganj | 15, Patherkandi | 0)","3(Nilambazar | 0, Badarpur | 0, RK Nagar | 0, Karimganj | 0, Patherkandi | 3)"
Lakhimpur,31,"3(Narayanpur | 2, Subansiri | 1, Dhakuakhana | 0, Bihpuria | 0, Nowboicha | 0)","28(Narayanpur | 1, Subansiri | 20, Dhakuakhana | 1, Bihpuria | 4, Nowboicha | 2)"
Bajali,7,6(Sarupeta | 6),1(Sarupeta | 1)
Majuli,12,"0(Majuli | 0, Ujani Majuli | 0)","12(Majuli | 4, Ujani Majuli | 8)"
Morigaon,98,"82(Morigaon | 68, Mikirbheta | 10, Bhuragaon | 2, Mayong | 2)","16(Morigaon | 11, Mikirbheta | 5, Bhuragaon | 0, Mayong | 0)"
Nagaon,78,"64(Kampur | 17, Raha | 13, Nagaon | 34)","14(Kampur | 0, Raha | 0, Nagaon | 14)"
Nalbari,2,"2(Paschim Nalbari | 1, Barbhag | 1)","0(Paschim Nalbari | 0, Barbhag | 0)"
Udalguri,2,2(Udalguri | 2),0(Udalguri | 0)
Tinsukia,10,"6(Tinsukia | 3, Doomdooma | 3)","4(Tinsukia | 4, Doomdooma | 0)"
Karbi Anglong West,34,0(Donkamokam | 0),34(Donkamokam | 34)
Sonitpur,3,"0(Dhekiajuli | 0, Thelamara | 0, Tezpur | 0)","3(Dhekiajuli | 1, Thelamara | 1, Tezpur | 1)"
Dima-Hasao,31,23(Haflong | 23),8(Haflong | 8)
Barpeta,43,"43(Barpeta | 35, Chenga | 8)","0(Barpeta | 0, Chenga | 0)"
Dibrugarh,25,"3(Dibrugarh East | 3, Chabua | 0, Tengakhat | 0, Moran | 0, Tingkhong | 0)","22(Dibrugarh East | 4, Chabua | 6, Tengakhat | 4, Moran | 7, Tingkhong | 1)"
Hailakandi,6,"6(Algapur | 5, Hailakandi | 1)","0(Algapur | 0, Hailakandi | 0)"
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0)
Darrang,4,1(Sipajhar | 1),3(Sipajhar | 3)
Chirang,4,4(Bijni | 4),0(Bijni | 0)
Cachar,400,"255(Sonai | 37, Katigorah | 94, Silchar | 108, Lakhipur | 16)","145(Sonai | 0, Katigorah | 77, Silchar | 68, Lakhipur | 0)"
Biswanath,6,1(Halem | 1),5(Halem | 5)
Dhemaji,32,"2(Dhemaji | 2, Gogamukh | 0, Jonai | 0, Sissiborgaon | 0)","30(Dhemaji | 2, Gogamukh | 4, Jonai | 21, Sissiborgaon | 3)"
Chirang,4,4(Bijni | 4),0(Bijni | 0)
Bajali,6,6(Sarupeta | 6),0(Sarupeta | 0)
Dibrugarh,24,"3(Dibrugarh East | 3, Chabua | 0, Moran | 0, Dibrugarh West | 0)","21(Dibrugarh East | 4, Chabua | 2, Moran | 6, Dibrugarh West | 9)"
Dhemaji,9,"0(Sissiborgaon | 0, Jonai | 0)","9(Sissiborgaon | 3, Jonai | 6)"
Barpeta,41,"41(Barpeta | 35, Chenga | 6)","0(Barpeta | 0, Chenga | 0)"
Darrang,18,"0(Mangaldoi | 0, Sipajhar | 0)","18(Mangaldoi | 12, Sipajhar | 6)"
Tinsukia,11,"5(Tinsukia | 2, Doomdooma | 3)","6(Tinsukia | 2, Doomdooma | 4)"
Dima-Hasao,24,22(Haflong | 22),2(Haflong | 2)
Hailakandi,5,5(Algapur | 5),0(Algapur | 0)
Hojai,10,3(Hojai | 3),7(Hojai | 7)
Karimganj,47,"34(Nilambazar | 6, Karimganj | 15, RK Nagar | 5, Badarpur | 8, Patherkandi | 0)","13(Nilambazar | 1, Karimganj | 0, RK Nagar | 0, Badarpur | 0, Patherkandi | 12)"
