District,Total,Relief Camp,Relief Distribution Centres
Dima-Hasao,8,8(Haflong | 8),0(Haflong | 0)
Cachar,294,"199(Silchar | 99, Katigorah | 76, Udharbond | 1, Sonai | 23, Lakhipur | 0)","95(Silchar | 10, Katigorah | 38, Udharbond | 6, Sonai | 1, Lakhipur | 40)"
Hailakandi,1,1(Algapur | 1),0(Algapur | 0)
Hojai,34,"33(Hojai | 22, Doboka | 11, Lanka | 0)","1(Hojai | 0, Doboka | 0, Lanka | 1)"
Udalguri,1,0(Udalguri | 0),1(Udalguri | 1)
Karimganj,19,"7(Badarpur | 7, Karimganj | 0)","12(Badarpur | 2, Karimganj | 10)"
Lakhimpur,5,"0(North Lakhimpur | 0, Narayanpur | 0, Bihpuria | 0)","5(North Lakhimpur | 1, Narayanpur | 3, Bihpuria | 1)"
Morigaon,4,1(Morigaon | 1),3(Morigaon | 3)
Nagaon,110,"32(Nagaon | 10, Raha | 7, Kampur | 15)","78(Nagaon | 6, Raha | 45, Kampur | 27)"
Nalbari,2,0(Tihu | 0),2(Tihu | 2)
Sonitpur,6,0(Tezpur | 0),6(Tezpur | 6)
Kamrup,1,0(Rangia | 0),1(Rangia | 1)
Karimganj,22,"7(Badarpur | 7, Karimganj | 0)","15(Badarpur | 5, Karimganj | 10)"
Hojai,22,"22(Hojai | 11, Doboka | 11)","0(Hojai | 0, Doboka | 0)"
Hailakandi,2,0(Algapur | 0),2(Algapur | 2)
Cachar,304,"199(Katigorah | 76, Sonai | 23, Udharbond | 1, Silchar | 99, Lakhipur | 0)","105(Katigorah | 38, Sonai | 1, Udharbond | 7, Silchar | 10, Lakhipur | 49)"
Barpeta,5,0(Sarthebari | 0),5(Sarthebari | 5)
Morigaon,14,1(Morigaon | 1),13(Morigaon | 13)
Darrang,4,0(Mangaldoi | 0),4(Mangaldoi | 4)
Nagaon,48,"40(Nagaon | 18, Raha | 7, Kampur | 15)","8(Nagaon | 8, Raha | 0, Kampur | 0)"
Morigaon,21,3(Morigaon | 3),18(Morigaon | 18)
Karimganj,15,"6(Badarpur | 6, Karimganj | 0)","9(Badarpur | 0, Karimganj | 9)"
Dibrugarh,1,0(Chabua | 0),1(Chabua | 1)
Udalguri,2,0(Udalguri | 0),2(Udalguri | 2)
Karbi Anglong West,2,0(Donkamokam | 0),2(Donkamokam | 2)
Cachar,419,"288(Udharbond | 1, Katigorah | 102, Silchar | 162, Sonai | 23, Lakhipur | 0)","131(Udharbond | 6, Katigorah | 92, Silchar | 9, Sonai | 1, Lakhipur | 23)"
Hojai,14,"14(Doboka | 11, Hojai | 3)","0(Doboka | 0, Hojai | 0)"
Kamrup,3,"0(Rangia | 0, Kayan | 0, Kamalpur | 0)","3(Rangia | 1, Kayan | 1, Kamalpur | 1)"
Barpeta,3,0(Sarthebari | 0),3(Sarthebari | 3)
Nagaon,162,"48(Kampur | 15, Raha | 7, Nagaon | 26)","114(Kampur | 0, Raha | 80, Nagaon | 34)"
Hailakandi,4,3(Algapur | 3),1(Algapur | 1)
Dima-Hasao,10,4(Haflong | 4),6(Haflong | 6)
Barpeta,1,0(Sarthebari | 0),1(Sarthebari | 1)
Nagaon,54,"41(Nagaon | 25, Kampur | 9, Raha | 7)","13(Nagaon | 13, Kampur | 0, Raha | 0)"
Morigaon,15,3(Morigaon | 3),12(Morigaon | 12)
Karimganj,11,"2(Badarpur | 2, Karimganj | 0)","9(Badarpur | 0, Karimganj | 9)"
Kamrup,1,0(Kamalpur | 0),1(Kamalpur | 1)
Karbi Anglong West,1,0(Donkamokam | 0),1(Donkamokam | 1)
